"","Age","Aantal","Percentage1","Percentage2","Chosen","Group"
"1","20-25",2,0.1053,0.010152,1,"High"
"2","25-35",3,0.1579,0.015228,1,"High"
"3","35-45",1,0.0526,0.005076,1,"High"
"4","45-55",8,0.421,0.040609,1,"High"
"5","55-65",3,0.1579,0.015228,1,"High"
"6","65+",2,0.1053,0.010152,1,"High"
"7","20-25",10,0.3334,0.050761,2,"High"
"8","25-35",1,0.0333,0.005076,2,"High"
"9","35-45",1,0.0333,0.005076,2,"High"
"10","45-55",10,0.3334,0.050761,2,"High"
"11","55-65",7,0.2333,0.035533,2,"High"
"12","65+",1,0.0333,0.005076,2,"High"
"13","20-25",3,0.0556,0.015228,3,"High"
"14","25-35",4,0.0741,0.020305,3,"High"
"15","35-45",7,0.1296,0.035533,3,"High"
"16","45-55",17,0.3148,0.086294,3,"High"
"17","55-65",13,0.2407,0.06599,3,"High"
"18","65+",10,0.1852,0.050761,3,"High"
"19","20-25",16,0.2667,0.081218,4,"High"
"20","25-35",4,0.0667,0.020305,4,"High"
"21","35-45",4,0.0667,0.020305,4,"High"
"22","45-55",19,0.3166,0.09645,4,"High"
"23","55-65",8,0.1333,0.040609,4,"High"
"24","65+",9,0.15,0.045685,4,"High"
"25","20-25",12,0.3529,0.060914,5,"High"
"26","25-35",2,0.0588,0.010152,5,"High"
"27","35-45",5,0.1471,0.025381,5,"High"
"28","45-55",6,0.1765,0.030457,5,"High"
"29","55-65",6,0.1765,0.030457,5,"High"
"30","65+",3,0.0882,0.015228,5,"High"
"31","20-25",6,0.4616,0.12,1,"Low"
"32","25-35",1,0.0769,0.02,1,"Low"
"33","35-45",2,0.1538,0.04,1,"Low"
"34","45-55",4,0.3077,0.08,1,"Low"
"35","20-25",1,0.0588,0.02,2,"Low"
"36","25-35",1,0.0588,0.02,2,"Low"
"37","35-45",4,0.2353,0.08,2,"Low"
"38","45-55",7,0.4119,0.14,2,"Low"
"39","55-65",2,0.1176,0.04,2,"Low"
"40","65+",2,0.1176,0.04,2,"Low"
"41","35-45",1,0.125,0.02,3,"Low"
"42","45-55",2,0.25,0.04,3,"Low"
"43","55-65",2,0.25,0.04,3,"Low"
"44","65+",3,0.375,0.06,3,"Low"
"45","20-25",2,0.25,0.04,4,"Low"
"46","25-35",2,0.25,0.04,4,"Low"
"47","35-45",1,0.125,0.02,4,"Low"
"48","45-55",2,0.25,0.04,4,"Low"
"49","65+",1,0.125,0.02,4,"Low"
"50","35-45",2,0.5,0.04,5,"Low"
"51","45-55",2,0.5,0.04,5,"Low"
